SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
552150,Grd Mtd Dist. Substation,192,500,0.079925121,3,ST045600991300
552151,Grd Mtd Dist. Substation,218,315,0.064916889,4,ST045400988900
552152,Grd Mtd Dist. Substation,250,300,0.020097623,4,ST043900992400
552153,Grd Mtd Dist. Substation,116,300,0.154663433,3,ST036000992500
552195,Pole Mtd Dist. Substation,2,50,1,1,SO020300031100
552210,Grd Mtd Dist. Substation,200,300,0.059757644,4,SO021400001600
552211,Grd Mtd Dist. Substation,26,500,0.947514462,3,SO020400007800
552213,Grd Mtd Dist. Substation,9,300,1,1,SO018700011200
552214,Grd Mtd Dist. Substation,279,300,0.165907876,4,SO015500010700
552215,Grd Mtd Dist. Substation,265,500,0.064247161,4,SO015200012100
552223,Grd Mtd Dist. Substation,172,500,0.790304917,5,ST049500989600
552239,Grd Mtd Dist. Substation,296,500,0.781695857,4,ST046800991700
552240,Grd Mtd Dist. Substation,115,800,0.003834945,3,ST034100991200
552242,Grd Mtd Dist. Substation,205,500,0.127134021,4,ST033800993800
552251,Grd Mtd Dist. Substation,177,300,0,3,SO022600025500
552302,Pole Mtd Dist. Substation,94,100,0.03602708,1,SO138800037500
552303,Pole Mtd Dist. Substation,62,100,0,1,SO138600035800
552304,Pole Mtd Dist. Substation,2,25,1,1,SO128200038400
552305,Pole Mtd Dist. Substation,8,100,1,1,SO128000042300
552307,Pole Mtd Dist. Substation,118,200,0.063049716,2,SO137100035800
552309,Pole Mtd Dist. Substation,3,25,0,1,SO129300045100
552310,Grd Mtd Dist. Substation,122,300,0.015806961,4,SO120500055900
552311,Pole Mtd Dist. Substation,2,50,0.111787493,1,SO124700053800
552373,Pole Mtd Dist. Substation,91,100,0.056031323,2,SO125200059300
552374,Grd Mtd Dist. Substation,324,500,0.015561898,4,SO121000066700
552375,Grd Mtd Dist. Substation,171,500,0.036569689,4,SO120600068900
552376,Grd Mtd Dist. Substation,199,300,0.379788261,5,SO118600070400
552378,Grd Mtd Dist. Substation,283,315,0.242560285,4,SO116800073400
552379,Grd Mtd Dist. Substation,7,500,1,1,SO115500074100
552380,Grd Mtd Dist. Substation,171,300,0.077602695,4,SO113500086000
552381,Grd Mtd Dist. Substation,209,300,0.492019215,4,SO112800078000
552382,Grd Mtd Dist. Substation,144,500,0.680053727,3,SO112600075900
552383,Grd Mtd Dist. Substation,299,300,0.214347366,7,SO112000082900
552384,Grd Mtd Dist. Substation,210,300,0.022421482,4,SO111600088300
552385,Grd Mtd Dist. Substation,122,200,0.017244819,4,SO111000085600
552386,Grd Mtd Dist. Substation,12,200,0.821933282,1,SO110900074700
552387,Grd Mtd Dist. Substation,182,500,0.190046971,5,SO110100081600
552388,Grd Mtd Dist. Substation,182,300,0.144761504,4,SO109300084800
552390,Pole Mtd Dist. Substation,2,16,0,1,SO117400091900
552393,Pole Mtd Dist. Substation,24,100,0.10770188,1,SO108000095200
552394,Pole Mtd Dist. Substation,3,50,1,1,SO107500092900
552403,Pole Mtd Dist. Substation,4,25,0,1,SO105500092700
552407,Pole Mtd Dist. Substation,102,100,0.076772236,1,SO130400016700
552415,Pole Mtd Dist. Substation,3,5,0.09684655,1,SO102300088100
552418,Pole Mtd Dist. Substation,2,15,0,1,SO093500088900
552419,Pole Mtd Dist. Substation,1,16,0,1,SO090100086600
552420,Pole Mtd Dist. Substation,6,100,0.956641859,1,SO090000085000
552422,Pole Mtd Dist. Substation,50,100,0.130044636,1,SO104980090759
552453,Pole Mtd Dist. Substation,1,15,0,1,SO148200039400
552454,Pole Mtd Dist. Substation,1,16,1,1,SO147300041300
552455,Pole Mtd Dist. Substation,3,16,0,1,SO146800046200
552456,Pole Mtd Dist. Substation,1,15,1,1,SO145600052600
552457,Grd Mtd Dist. Substation,115,315,0,3,SO150200022800
552458,Pole Mtd Dist. Substation,1,16,0,1,SO145200025000
552459,Pole Mtd Dist. Substation,33,200,0,2,SO142400028700
552460,Grd Mtd Dist. Substation,77,300,0.074752427,4,SO140800031400
552471,Pole Mtd Dist. Substation,0,25,0,0,SO018300073300
552472,Pole Mtd Dist. Substation,4,16,0,1,SO014800074500
552475,Pole Mtd Dist. Substation,0,15,0,1,SO031100064600
552477,Pole Mtd Dist. Substation,1,16,0,1,SO027300065500
552479,Grd Mtd Dist. Substation,120,315,0.354140838,4,SO033100070200
552480,Grd Mtd Dist. Substation,336,500,0.120599141,6,SO030800071200
552481,Pole Mtd Dist. Substation,46,100,0,2,SO027100058500
552482,Pole Mtd Dist. Substation,5,15,0.324573302,1,SO025000060000
552483,Pole Mtd Dist. Substation,26,100,0,1,SO023200063100
552520,Grd Mtd Dist. Substation,209,500,0.005985586,5,SO148400104200
552521,Grd Mtd Dist. Substation,247,315,0.010573834,5,SO148000106800
552522,Grd Mtd Dist. Substation,213,300,0.015171798,3,SO146600101100
552524,Grd Mtd Dist. Substation,159,500,0.082545267,4,SO142800103000
